product_id,product_name,category,unit_price,stock_level,product_launch_date,supplier_id
P001,Apples 32 oz,Produce,0.64,1717,2020-01-31,S008
P002,Bananas 16 oz,Produce,3.74,643,2020-02-02,S002
P003,Baby Carrots 2 lb,Produce,1.20,332,2022-05-12,S003
P004,Broccoli 2 lb,Produce,3.12,1315,2022-01-11,S004
P005,Spinach 2 lb,Produce,2.99,188,2021-03-29,S017
P006,Tomatoes 12 oz,Produce,2.16,224,2023-08-10,S016
P007,Avocados 500 ml,Produce,5.16,321,2022-05-23,S016
P008,Lettuce 12 oz,Produce,4.42,1941,2022-06-27,S003
P009,Cucumbers 12 oz,Produce,2.27,358,2020-10-30,S009
P010,Blueberries 2 lb,Produce,3.93,1558,2023-04-13,S011
P011,Strawberries 2 lb,Produce,2.59,703,2023-05-08,S015
P012,Grapes 12 oz,Produce,3.28,1724,2022-05-31,S004
P013,Apples 1 L #2,Produce,5.19,1229,2023-08-26,S007
P014,Bananas 1 lb #2,Produce,2.87,794,2021-04-12,S015
P015,Baby Carrots 32 oz #2,Produce,2.69,974,2020-07-13,S011
P016,Broccoli 16 oz #2,Produce,4.16,1506,2022-02-05,S016
P017,Spinach 12 oz #2,Produce,0.87,984,2020-06-23,S004
P018,Tomatoes 1 L #2,Produce,4.60,366,2022-02-02,S018
P019,Avocados 2 lb #2,Produce,0.83,775,2023-02-24,S004
P020,Lettuce 1 L #2,Produce,2.76,966,2023-09-24,S002
P021,Cucumbers 32 oz #2,Produce,5.83,820,2023-05-14,S004
P022,Blueberries 16 oz #2,Produce,3.68,1444,2021-03-11,S016
P023,Strawberries 32 oz #2,Produce,1.73,1831,2020-08-09,S018
P024,Grapes 2 lb #2,Produce,2.52,563,2021-07-24,S014
P025,Apples 2 lb #3,Produce,5.15,1482,2023-06-27,S018
P026,Bananas 1 L #3,Produce,0.64,1520,2023-09-09,S009
P027,Baby Carrots 500 ml #3,Produce,0.66,1661,2021-07-13,S010
P028,Broccoli 12 oz #3,Produce,5.57,471,2021-12-19,S005
P029,Spinach 12 oz #3,Produce,3.61,390,2022-03-31,S001
P030,Tomatoes 16 oz #3,Produce,1.00,870,2022-12-22,S014
P031,Avocados 32 oz #3,Produce,3.00,738,2020-11-18,S011
P032,Lettuce 2 lb #3,Produce,4.77,273,2023-03-08,S002
P033,Cucumbers 12 oz #3,Produce,1.36,1480,2023-06-19,S003
P034,Blueberries 1 lb #3,Produce,2.00,1094,2023-09-17,S020
P035,Strawberries 16 oz #3,Produce,2.93,1646,2021-07-13,S017
P036,Grapes 12 oz #3,Produce,1.13,680,2022-05-30,S019
P037,Apples 32 oz #4,Produce,3.18,193,2023-09-28,S008
P038,Bananas 12 oz #4,Produce,2.67,115,2023-05-12,S007
P039,Baby Carrots 1 L #4,Produce,2.16,381,2021-03-08,S009
P040,Broccoli 12 oz #4,Produce,2.09,1118,2020-09-02,S014
P041,Spinach 2 lb #4,Produce,1.47,1541,2022-02-17,S008
P042,Tomatoes 1 L #4,Produce,3.25,825,2023-09-30,S003
P043,Avocados 1 lb #4,Produce,2.68,138,2020-03-27,S015
P044,Lettuce 2 lb #4,Produce,5.57,979,2021-10-03,S019
P045,Cucumbers 1 lb #4,Produce,2.72,692,2023-08-04,S004
P046,Blueberries 16 oz #4,Produce,2.73,1741,2021-10-27,S020
P047,Strawberries 32 oz #4,Produce,3.03,280,2023-11-13,S014
P048,Grapes 1 lb #4,Produce,5.14,1306,2021-05-13,S013
P049,Apples 1 L #5,Produce,3.38,735,2022-03-21,S011
P050,Bananas 12 oz #5,Produce,1.72,1145,2020-12-10,S004
P051,Baby Carrots 1 L #5,Produce,3.42,815,2021-02-01,S012
P052,Broccoli 1 L #5,Produce,4.50,402,2023-08-14,S008
P053,Spinach 16 oz #5,Produce,1.07,455,2021-06-08,S020
P054,Tomatoes 12 oz #5,Produce,1.34,462,2023-09-04,S016
P055,Avocados 1 L #5,Produce,3.05,1286,2023-02-28,S015
P056,Lettuce 500 ml #5,Produce,4.25,1401,2023-03-02,S020
P057,Cucumbers 32 oz #5,Produce,2.28,409,2023-07-08,S015
P058,Blueberries 500 ml #5,Produce,0.88,720,2022-06-24,S009
P059,Strawberries 2 lb #5,Produce,3.75,251,2021-12-21,S010
P060,Grapes 12 oz #5,Produce,3.04,855,2020-03-18,S010
P061,Apples 2 lb #6,Produce,0.92,1316,2020-07-03,S017
P062,Bananas 2 lb #6,Produce,2.61,1721,2023-04-03,S002
P063,Baby Carrots 500 ml #6,Produce,2.97,485,2023-03-16,S011
P064,Broccoli 16 oz #6,Produce,3.83,226,2022-10-23,S015
P065,Spinach 500 ml #6,Produce,1.07,272,2021-12-04,S017
P066,Tomatoes 16 oz #6,Produce,4.05,1549,2020-03-21,S015
P067,Avocados 2 lb #6,Produce,5.95,1348,2022-12-09,S006
P068,Lettuce 1 lb #6,Produce,2.50,937,2021-08-02,S011
P069,Cucumbers 1 L #6,Produce,4.23,1392,2020-04-17,S011
P070,Blueberries 2 lb #6,Produce,0.86,1489,2020-07-12,S013
P071,Strawberries 2 lb #6,Produce,2.06,1888,2023-09-06,S005
P072,Grapes 500 ml #6,Produce,2.33,389,2023-04-08,S012
P073,Apples 500 ml #7,Produce,2.21,1456,2023-09-05,S013
P074,Bananas 12 oz #7,Produce,1.21,734,2023-12-22,S018
P075,Baby Carrots 1 L #7,Produce,2.57,361,2021-11-03,S017
P076,Broccoli 1 lb #7,Produce,1.01,1141,2023-10-05,S012
P077,Spinach 16 oz #7,Produce,0.60,538,2021-09-24,S011
P078,Tomatoes 16 oz #7,Produce,5.71,563,2022-09-22,S005
P079,Avocados 1 L #7,Produce,1.35,1714,2021-08-28,S004
P080,Lettuce 1 L #7,Produce,3.29,1612,2023-01-10,S017
P081,Cucumbers 1 L #7,Produce,0.71,1365,2021-11-20,S005
P082,Blueberries 16 oz #7,Produce,3.78,470,2020-11-11,S020
P083,Strawberries 500 ml #7,Produce,4.95,996,2020-12-05,S002
P084,Grapes 500 ml #7,Produce,2.76,586,2023-10-17,S015
P085,Apples 16 oz #8,Produce,3.86,1193,2022-07-08,S008
P086,Bananas 1 L #8,Produce,2.20,497,2022-08-18,S012
P087,Baby Carrots 1 lb #8,Produce,4.23,1045,2023-03-14,S010
P088,Broccoli 2 lb #8,Produce,4.78,957,2022-10-26,S006
P089,Spinach 16 oz #8,Produce,4.99,1887,2023-05-23,S009
P090,Tomatoes 1 L #8,Produce,0.79,860,2022-09-11,S018
P091,Avocados 1 L #8,Produce,5.64,1156,2023-12-27,S004
P092,Lettuce 32 oz #8,Produce,2.07,1020,2020-11-24,S017
P093,Cucumbers 12 oz #8,Produce,1.31,1964,2022-06-14,S008
P094,Blueberries 12 oz #8,Produce,4.99,949,2021-12-16,S002
P095,Strawberries 16 oz #8,Produce,2.68,890,2022-02-04,S003
P096,Grapes 32 oz #8,Produce,2.56,302,2020-02-27,S011
P097,Apples 12 oz #9,Produce,4.85,687,2020-10-08,S016
P098,Bananas 1 L #9,Produce,4.33,1544,2020-10-11,S016
P099,Baby Carrots 12 oz #9,Produce,2.97,138,2020-01-11,S009
P100,Broccoli 2 lb #9,Produce,1.69,1589,2020-11-02,S020
P101,Spinach 1 L #9,Produce,3.40,690,2020-08-15,S008
P102,Tomatoes 16 oz #9,Produce,2.16,959,2020-04-07,S020
P103,Avocados 1 L #9,Produce,3.01,1953,2020-08-15,S016
P104,Lettuce 500 ml #9,Produce,3.78,1155,2020-02-03,S019
P105,Cucumbers 32 oz #9,Produce,1.83,979,2020-10-21,S001
P106,Blueberries 2 lb #9,Produce,3.88,953,2021-05-07,S006
P107,Strawberries 2 lb #9,Produce,4.15,838,2020-06-24,S003
P108,Grapes 2 lb #9,Produce,5.74,1710,2023-01-19,S017
P109,Apples 1 L #10,Produce,3.55,1062,2022-03-10,S002
P110,Bananas 32 oz #10,Produce,4.00,1630,2022-02-03,S001
P111,Baby Carrots 32 oz #10,Produce,2.46,593,2020-05-18,S004
P112,Broccoli 16 oz #10,Produce,4.74,190,2021-11-11,S012
P113,Spinach 16 oz #10,Produce,3.50,1800,2023-08-09,S015
P114,Tomatoes 500 ml #10,Produce,5.89,473,2022-09-07,S005
P115,Avocados 12 oz #10,Produce,0.85,700,2022-07-26,S007
P116,Lettuce 12 oz #10,Produce,0.74,746,2021-02-12,S010
P117,Cucumbers 1 lb #10,Produce,3.33,618,2023-01-17,S002
P118,Blueberries 32 oz #10,Produce,4.64,831,2021-01-26,S002
P119,Strawberries 32 oz #10,Produce,5.26,354,2021-11-10,S012
P120,Grapes 500 ml #10,Produce,2.90,1000,2022-03-30,S013
P121,Apples 1 lb #11,Produce,2.36,1517,2021-01-17,S016
P122,Bananas 32 oz #11,Produce,2.52,1740,2022-11-29,S003
P123,Baby Carrots 1 lb #11,Produce,4.50,1333,2020-06-10,S006
P124,Broccoli 12 oz #11,Produce,3.50,263,2021-10-19,S011
P125,Spinach 1 lb #11,Produce,4.14,1334,2021-09-19,S014
P126,Tomatoes 32 oz #11,Produce,1.42,1015,2022-06-28,S002
P127,Avocados 2 lb #11,Produce,4.50,990,2021-12-23,S009
P128,Lettuce 12 oz #11,Produce,4.02,1474,2020-04-27,S013
P129,Cucumbers 16 oz #11,Produce,2.50,163,2023-10-23,S005
P130,Blueberries 1 L #11,Produce,5.17,997,2023-10-20,S002
P131,Strawberries 1 L #11,Produce,1.19,1421,2021-04-28,S012
P132,Grapes 12 oz #11,Produce,2.49,1339,2023-03-07,S005
P133,Apples 32 oz #12,Produce,4.23,1009,2022-01-29,S003
P134,Bananas 32 oz #12,Produce,3.66,915,2022-12-20,S011
P135,Baby Carrots 12 oz #12,Produce,4.07,153,2021-05-26,S006
P136,Broccoli 2 lb #12,Produce,3.24,341,2022-03-03,S009
P137,Spinach 1 lb #12,Produce,4.76,539,2023-12-12,S020
P138,Tomatoes 16 oz #12,Produce,2.07,351,2022-10-02,S005
P139,Avocados 16 oz #12,Produce,5.19,1940,2022-07-14,S015
P140,Lettuce 1 L #12,Produce,5.98,754,2023-10-28,S012
P141,Cucumbers 2 lb #12,Produce,4.40,694,2023-01-31,S010
P142,Blueberries 500 ml #12,Produce,5.18,1999,2023-12-28,S006
